id,cartucho_id,impresora_id,fecha,tipo_movimiento,cantidad,usuario_id,createdAt,updatedAt
"60103","1","","2026-03-17 16:34:14","COMPRA","4","1","2026-03-17 16:34:14","2026-03-17 16:34:14"
"60104","17","","2026-03-17 16:34:14","COMPRA","2","1","2026-03-17 16:34:14","2026-03-17 16:34:14"
"60105","24","","2026-03-17 16:34:14","COMPRA","2","1","2026-03-17 16:34:14","2026-03-17 16:34:14"
"60106","27","","2026-03-17 16:34:15","COMPRA","2","1","2026-03-17 16:34:15","2026-03-17 16:34:15"
"60107","25","","2026-03-17 16:34:15","COMPRA","2","1","2026-03-17 16:34:15","2026-03-17 16:34:15"
"60108","26","","2026-03-17 16:34:16","COMPRA","2","1","2026-03-17 16:34:16","2026-03-17 16:34:16"
"60109","9","","2026-03-17 16:34:16","COMPRA","4","1","2026-03-17 16:34:16","2026-03-17 16:34:16"
"60110","3","","2026-03-17 16:34:16","COMPRA","1","1","2026-03-17 16:34:16","2026-03-17 16:34:16"
"90102","1","60046","2026-03-18 11:20:03","ENTREGA A ÁREA","1","1","2026-03-18 11:20:03","2026-03-18 11:20:03"
"90103","27","60047","2026-03-18 11:24:35","ENTREGA A ÁREA","1","2","2026-03-18 11:24:35","2026-03-18 11:24:35"
"90104","24","60047","2026-03-18 11:24:36","ENTREGA A ÁREA","1","2","2026-03-18 11:24:36","2026-03-18 11:24:36"
"90105","26","60047","2026-03-18 11:24:36","ENTREGA A ÁREA","1","2","2026-03-18 11:24:36","2026-03-18 11:24:36"
"90106","25","60047","2026-03-18 11:24:37","ENTREGA A ÁREA","1","2","2026-03-18 11:24:37","2026-03-18 11:24:37"
"120102","60033","2","2026-03-20 11:30:57","ENTREGA A ÁREA","2","4","2026-03-20 11:30:57","2026-03-20 11:30:57"
"150102","1","32","2026-03-25 16:13:17","ENTREGA A ÁREA","1","4","2026-03-25 16:13:17","2026-03-25 16:13:17"
"180102","13","28","2026-03-26 15:21:26","ENTREGA A ÁREA","1","1","2026-03-26 15:21:26","2026-03-26 15:21:26"
"210102","9","9","2026-03-27 12:21:40","ENTREGA A ÁREA","1","1","2026-03-27 12:21:40","2026-03-27 12:21:40"
"240102","8","15","2026-04-01 10:40:31","ENTREGA A ÁREA","1","2","2026-04-01 10:40:31","2026-04-01 10:40:31"
"270102","6","33","2026-04-01 15:16:04","ENTREGA A ÁREA","1","4","2026-04-01 15:16:04","2026-04-01 15:16:04"
"300102","30","90046","2026-04-06 11:34:05","ENTREGA A ÁREA","1","4","2026-04-06 11:34:05","2026-04-06 11:34:05"
"330102","2","120046","2026-04-07 12:55:14","ENTREGA A ÁREA","1","4","2026-04-07 12:55:14","2026-04-07 12:55:14"
"360102","9","21","2026-04-08 12:36:41","ENTREGA A ÁREA","1","1","2026-04-08 12:36:41","2026-04-08 12:36:41"
"390102","1","","2026-04-10 10:13:15","COMPRA","2","1","2026-04-10 10:13:15","2026-04-10 10:13:15"
"390103","5","","2026-04-10 10:13:16","COMPRA","6","1","2026-04-10 10:13:16","2026-04-10 10:13:16"
"390104","20","","2026-04-10 10:13:16","COMPRA","1","1","2026-04-10 10:13:16","2026-04-10 10:13:16"
"390105","23","","2026-04-10 10:13:17","COMPRA","1","1","2026-04-10 10:13:17","2026-04-10 10:13:17"
"390106","21","","2026-04-10 10:13:17","COMPRA","1","1","2026-04-10 10:13:17","2026-04-10 10:13:17"
"390107","22","","2026-04-10 10:13:18","COMPRA","1","1","2026-04-10 10:13:18","2026-04-10 10:13:18"
"390108","27","","2026-04-10 10:13:18","COMPRA","1","1","2026-04-10 10:13:18","2026-04-10 10:13:18"
"390109","24","","2026-04-10 10:13:18","COMPRA","1","1","2026-04-10 10:13:18","2026-04-10 10:13:18"
"390110","26","","2026-04-10 10:13:19","COMPRA","1","1","2026-04-10 10:13:19","2026-04-10 10:13:19"
"390111","25","","2026-04-10 10:13:19","COMPRA","1","1","2026-04-10 10:13:19","2026-04-10 10:13:19"
"420102","90033","","2026-04-10 10:29:59","COMPRA","2","1","2026-04-10 10:29:59","2026-04-10 10:29:59"
"450102","90033","150046","2026-04-10 11:08:32","ENTREGA A ÁREA","1","1","2026-04-10 11:08:32","2026-04-10 11:08:32"
"480102","5","30","2026-04-10 11:20:21","ENTREGA A ÁREA","1","1","2026-04-10 11:20:21","2026-04-10 11:20:21"
"510102","5","29","2026-04-10 12:40:50","ENTREGA A ÁREA","1","3","2026-04-10 12:40:50","2026-04-10 12:40:50"
"540102","17","39","2026-04-10 12:47:42","ENTREGA A ÁREA","1","3","2026-04-10 12:47:42","2026-04-10 12:47:42"
"540106","17","39","2026-04-10 12:47:42","ENTREGA A ÁREA","1","3","2026-04-10 12:47:42","2026-04-10 12:47:42"
"540109","17","39","2026-04-10 12:47:42","ENTREGA A ÁREA","1","3","2026-04-10 12:47:42","2026-04-10 12:47:42"
"540112","17","39","2026-04-10 12:47:43","ENTREGA A ÁREA","1","3","2026-04-10 12:47:43","2026-04-10 12:47:43"
"540117","17","39","2026-04-10 12:47:44","ENTREGA A ÁREA","1","3","2026-04-10 12:47:44","2026-04-10 12:47:44"
"540122","17","39","2026-04-10 12:47:45","ENTREGA A ÁREA","1","3","2026-04-10 12:47:45","2026-04-10 12:47:45"
"540127","17","39","2026-04-10 12:47:45","ENTREGA A ÁREA","1","3","2026-04-10 12:47:45","2026-04-10 12:47:45"
"540132","17","39","2026-04-10 12:47:45","ENTREGA A ÁREA","1","3","2026-04-10 12:47:45","2026-04-10 12:47:45"
"540136","17","39","2026-04-10 12:47:46","ENTREGA A ÁREA","1","3","2026-04-10 12:47:46","2026-04-10 12:47:46"
"540139","17","39","2026-04-10 12:47:46","ENTREGA A ÁREA","1","3","2026-04-10 12:47:46","2026-04-10 12:47:46"
"540141","17","39","2026-04-10 12:47:46","ENTREGA A ÁREA","1","3","2026-04-10 12:47:46","2026-04-10 12:47:46"
"540142","17","39","2026-04-10 12:47:50","ENTREGA A ÁREA","1","3","2026-04-10 12:47:50","2026-04-10 12:47:50"
"540145","17","39","2026-04-10 12:47:50","ENTREGA A ÁREA","1","3","2026-04-10 12:47:50","2026-04-10 12:47:50"
"540148","17","39","2026-04-10 12:47:50","ENTREGA A ÁREA","1","3","2026-04-10 12:47:50","2026-04-10 12:47:50"
"540150","17","39","2026-04-10 12:47:50","ENTREGA A ÁREA","1","3","2026-04-10 12:47:50","2026-04-10 12:47:50"
"570102","17","","2026-04-10 13:05:50","AJUSTE DE INVENTARIO","0","3","2026-04-10 13:05:50","2026-04-10 13:05:50"
"600102","7","","2026-04-10 15:21:36","AJUSTE DE INVENTARIO","0","1","2026-04-10 15:21:36","2026-04-10 15:21:36"
"630102","5","210046","2026-04-15 13:17:25","ENTREGA A ÁREA","1","1","2026-04-15 13:17:25","2026-04-15 13:17:25"
"660102","20","17","2026-04-21 18:18:55","ENTREGA A ÁREA","1","1","2026-04-21 18:18:55","2026-04-21 18:18:55"
"690102","5","14","2026-04-23 13:49:16","ENTREGA A ÁREA","1","1","2026-04-23 13:49:16","2026-04-23 13:49:16"
"720102","9","9","2026-04-24 11:06:53","ENTREGA A ÁREA","1","1","2026-04-24 11:06:53","2026-04-24 11:06:53"
"750102","1","32","2026-04-24 13:00:23","ENTREGA A ÁREA","1","1","2026-04-24 13:00:23","2026-04-24 13:00:23"
